time_seconds,frame_30fps,prop_pos_m,prop_vel_m_s,yaw_tt_deg,roll_deg,pitch_deg,yaw_mb_deg,surge_mm,sway_mm,heave_mm,act1_mm,act2_mm,act3_mm,act4_mm,act5_mm,act6_mm
-9,-270,7.228,0.998334,90,0,0,0,0,0,0,2470,2470,2470,2470,2470,2470
-8.99167,-269.75,7.23633,0.999287,90,0,0,0,0,0,0,2470,2470,2470,2470,2470,2470
-8.98333,-269.5,7.24467,0.999357,90,0,0,0,0,0,0,2470,2470,2470,2470,2470,2470
-8.975,-269.25,7.253,1.00033,90,0,0,0,0,0,0,2470,2470,2470,2470,2470,2470
-8.96667,-269,7.26133,1.00001,90,0,0,0,0,0,0,2470,2470,2470,2470,2470,2470
-8.95833,-268.75,7.26967,1.00001,90,0,0,0,0,0,0,2470,2470,2470,2470,2470,2470
-8.95,-268.5,7.278,1.00001,90,0,0,0,0,0,0,2470,2470,2470,2470,2470,2470
-8.94167,-268.25,7.28633,1.00001,90,0,0,0,0,0,0,2470,2470,2470,2470,2470,2470
-8.93333,-268,7.29467,0.999985,90,0,0,0,0,0,0,2470,2470,2470,2470,2470,2470
-8.925,-267.75,7.303,0.999985,90,0,0,0,0,0,0,2470,2470,2470,2470,2470,2470
-8.91667,-267.5,7.31133,0.999985,90,0,0,0,0,0,0,2470,2470,2470,2470,2470,2470
-8.90833,-267.25,7.31967,0.999985,90,0,0,0,0,0,0,2470,2470,2470,2470,2470,2470
-8.9,-267,7.328,1.00001,90,0,0,0,0,0,0,2470,2470,2470,2470,2470,2470
-8.89167,-266.75,7.33633,1.00003,90,0,0,0,0,0,0,2470,2470,2470,2470,2470,2470
-8.88333,-266.5,7.34467,1.00001,90,0,0,0,0,0,0,2470,2470,2470,2470,2470,2470
-8.875,-266.25,7.353,1.00003,90,0,0,0,0,0,0,2470,2470,2470,2470,2470,2470
-8.86667,-266,7.36133,0.999985,90,0,0,0,0,0,0,2470,2470,2470,2470,2470,2470
-8.85833,-265.75,7.36967,0.999985,90,0,0,0,0,0,0,2470,2470,2470,2470,2470,2470
-8.85,-265.5,7.378,0.999985,90,0,0,0,0,0,0,2470,2470,2470,2470,2470,2470
-8.84167,-265.25,7.38633,0.999985,90,0,0,0,0,0,0,2470,2470,2470,2470,2470,2470
-8.83333,-265,7.39467,1.00001,90,0,0,0,0,0,0,2470,2470,2470,2470,2470,2470
-8.825,-264.75,7.403,1.00001,90,0,0,0,0,0,0,2470,2470,2470,2470,2470,2470
-8.81667,-264.5,7.41133,1.00001,90,0,0,0,0,0,0,2470,2470,2470,2470,2470,2470
-8.80833,-264.25,7.41967,1.00001,90,0,0,0,0,0,0,2470,2470,2470,2470,2470,2470
-8.8,-264,7.428,0.999985,90,0,0,0,0,0,0,2470,2470,2470,2470,2470,2470
-8.79167,-263.75,7.43633,0.999985,90,0,0,0,0,0,0,2470,2470,2470,2470,2470,2470
-8.78333,-263.5,7.44467,0.999985,90,0,0,0,0,0,0,2470,2470,2470,2470,2470,2470
